"Last Name","First Name","Nat","Age","Games_Played","Goals","Assists","Salary"
"Hamonic","Travis","CAN",27,74,1,10,4875000
"Hanifin","Noah","USA",21,79,10,22,925000
"Hanley","Joel","CAN",26,5,0,0,725000
"Hannikainen","Markus","FIN",24,33,3,3,650000
"Hansen","Jannik","DNK",31,46,2,12,3e+06
"Hanzal","Martin","CZE",30,38,5,5,5250000
"Harpur","Ben","CAN",23,41,0,1,650000
"Harrington","Scott","CAN",24,32,2,3,650000
"Hartman","Ryan","USA",23,78,11,20,832500
"Hartnell","Scott","CAN",35,62,13,11,1e+06
"Hathaway","Garnet","USA",26,59,4,9,650000
"Haula","Erik","FIN",26,76,29,26,2750000
"Hayden","John","USA",22,47,4,9,925000
"Hayes","Jimmy","USA",28,33,3,6,7e+05
"Hayes","Kevin","USA",25,76,25,19,2600000
"Heatherington","Dillon","CAN",22,6,0,1,827500
"Hedman","Victor","SWE",27,77,17,46,8e+06
"Heed","Tim","SWE",27,29,3,8,650000
"Heinen","Danton","CAN",22,77,16,31,925000
"Helm","Darren","CAN",31,75,13,18,4500000
"Hemsky","Ales","CZE",34,7,0,0,1e+06
"Hendricks","Matt","USA",36,60,5,8,7e+05
"Henrique","Adam","CAN",27,81,24,26,5e+06
"Hertl","Tomas","CZE",24,79,22,24,3200000
"Hicketts","Joe","CAN",21,5,0,3,650000
"Hickey","Thomas","CAN",28,69,5,20,3100000
"Highmore","Matthew","CAN",21,13,2,0,742500
"Hillman","Blake","USA",22,4,1,0,925000
"Hinostroza","Vinnie","USA",23,50,7,18,817500
"Hischier","Nico","CHE",19,82,20,32,925000
"Hjalmarsson","Niklas","SWE",30,48,1,8,4e+06
"Hoffman","Mike","CAN",28,82,22,34,5650000
"Holden","Nick","CAN",30,73,4,13,1800000
"Holl","Justin","USA",26,2,2,0,650000
"Holland","Peter","CAN",27,23,1,3,650000
"Holm","Philip","SWE",26,1,0,0,925000
"Holzer","Korbinian","DEU",29,16,0,0,9e+05
"Honka","Julius","FIN",22,42,1,3,832500
"Hornqvist","Patric","SWE",31,70,29,20,4750000
"Horvat","Bo","CAN",22,64,22,22,6500000
"Ho-Sang","Joshua","CAN",22,22,2,10,832500
"Hrivik","Marek","SVK",26,3,0,0,650000
"Huberdeau","Jonathan","CAN",24,82,27,42,6200000
"Hudon","Charles","CAN",23,72,10,20,650000
"Hunt","Brad","CAN",29,45,3,15,650000
"Hunt","Dryden","CAN",22,11,0,1,817500
"Hunwick","Matt","USA",32,42,4,6,2500000
"Hutton","Ben","CAN",24,61,0,6,2800000
"Hyka","Tomas","CZE",24,10,1,2,710000
"Hyman","Zach","CAN",25,82,15,25,2e+06
"Iafallo","Alex","USA",24,75,9,16,925000
"Irwin","Matt","CAN",30,50,2,6,650000
